number,position
11,CF
18,RAM
18,LAM
36,LWB
38,RWB
73,CM
84,CB
134,RW
137,LW
147,CDM
194,RS
199,LS
234,RDM
238,LDM
308,CAM
354,RCM
358,LCM
401,RM
406,LM
424,ST
509,LB
519,RB
610,RCB
614,GK
616,LCB
